SYM	MKT	EFD	VAL	VAD	VOL	TRD	OPN	CLS	AVG	LOW	HIG	CLA	CLP	CAA	CAP	UTI	ISI	RPR	RPT	PMK	CRF
BADE	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.702	ROBADEACNOR2	0.130000	1	1	0.130000
BALN	POFAV	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 10:00:38.447	ROBALNACNOR6	0.050000	1	0	0.050000
BALN	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:13.978	ROBALNACNOR6	0.050000	1	0	0.050000
BALN	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:11.861	ROBALNACNOR6	0.050000	1	1	0.050000
BALO	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:13.958	ROBALOACNOR4	9.400000	1	0	9.400000
BALO	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 15:00:33.453	ROBALOACNOR4	9.400000	1	1	9.400000
BAYN	XDSI	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.609	DE000BAY0017	332.550000	1	0	333.900000
BAYN	XRSI	20181107	2003.350000	2003.350000	6	2	334.600000	333.750000	333.900000	333.750000	334.600000	1.200000	0.360000	1.350000	0.410000	2018-11-07 17:35:09.32	DE000BAY0017	332.550000	1	1	333.900000
BBGA	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.097	ROBBGAACNOR1	2.980000	1	0	2.980000
BBGA	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.012	ROBBGAACNOR1	2.980000	1	1	2.980000
BCM	DEALS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.708	ROBUCMACNOR5	0.069500	2	0	0.069500
BCM	REGS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 12:47:26.252	ROBUCMACNOR5	0.069500	2	1	0.069500
BIBU	XDS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.296	ROBIBUACNOR5	1.500000	1	0	1.500000
BIBU	XRS1	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 09:45:06.027	ROBIBUACNOR5	1.500000	1	1	1.500000
BIH27	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.155	ROBIHRDBL013	0.000000	2	1	0.000000
BIH27	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.492	ROBIHRDBL013	0.000000	2	0	0.000000
BIO	DEALS	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.76	ROBIOFACNOR9	0.327000	2	0	0.332000
BIO	POFSV	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.635	ROBIOFACNOR9	0.327000	2	0	0.332000
BIO	REGS	20181107	3081.898000	3081.898000	9424	3	0.327000	0.332000	0.327000	0.327000	0.332000	0.005000	1.530000	0.000000	0.000000	2018-11-07 16:53:49.043	ROBIOFACNOR9	0.327000	2	1	0.332000
BIS29	ORDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:12.083	ROBISRDBL036	100.000000	2	1	100.000000
BIS29	QIDB	20181107	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2018-11-07 00:00:14.421	ROBISRDBL036	100.000000	2	0	100.000000
